"date","lat","lon","id","Size","BellColor","VesicleSize","VesicleColor","VesicleShape","nearest_logger_id","nearest_logger_dist"
2012-06-23,24.8240255,-80.8136783,95373,"large","blue","n/a","n/a","n/a",1,33131.2300917367
2013-02-14,24.6715318,-81.4984176,222983,"large","n/a","medium","blue","slender",1,83731.290271429
2013-06-29,24.824026,-80.813678,317431,"medium","blue","n/a","n/a","n/a",1,33131.1763712657
2013-06-29,24.824026,-80.813678,317437,"medium","brown","n/a","n/a","n/a",1,33131.1763712657
2013-11-07,25.09066667,-80.4475,455988,"large","blue","n/a","n/a","n/a",8,14659.8408538762
2003-08-31,25.068185,-80.555878,485617,"medium","white","n/a","n/a","n/a",1,28610.6112849284
2012-12-22,26.39087,-81.880567,759992,"medium","brown","medium","brown","slender",9,98681.6012156412
2015-04-16,24.921533,-80.633131,1434730,"large","brown","n/a","n/a","n/a",1,30040.899689491
2011-08-02,24.606113,-81.613644,1471404,"large","brown","n/a","n/a","n/a",1,97435.0474976293
2015-06-04,24.733055,-81.019393,1640616,"small","blue","n/a","n/a","n/a",2,9143.75521389
2015-08-07,25.128775,-80.40879,1842420,"large","brown","small","blue","slender",8,9084.39944503702
2015-08-07,25.128775,-80.40879,1853871,"medium","brown","n/a","n/a","n/a",8,9084.39944503702
2015-08-07,25.128775,-80.40879,1853882,"large","n/a","small","blue","round",8,9084.39944503702
2015-08-08,24.848607,-80.740905,1870809,"medium","brown","small","white","round",1,31743.015081556
2015-08-08,24.848607,-80.740905,1900180,"medium","blue","small","blue","round",1,31743.015081556
2015-08-10,25.04656172,-80.49476779,1920039,"medium","brown","large","blue","slender",8,21381.6560005208
2015-09-30,25.72523333,-80.155925,2051875,"small","white","n/a","n/a","n/a",6,923.908624749857
2015-10-06,22.882673,-83.523938,2168940,"large","brown","small","white","round",7,255068.753979558
2015-12-20,25.0328305,-80.497825,2491459,"medium","brown","large","blue","slender",1,35252.1252411416
2015-12-20,24.96196167,-80.57016667,2492266,"small","brown","n/a","n/a","n/a",1,31933.1239613396
2016-01-08,25.0324,-80.5048,2587039,"small","white","small","white","round",1,34590.994556774
2011-09-10,22.050323,-80.990868,2682030,"medium","brown","small","white","round",1,342213.516311661
2016-02-08,24.561836,-81.680503,2693070,"small","blue","small","white","round",7,12977.6031854558
2015-04-14,21.470043,-86.788838,2744548,"large","white","large","blue","slender",7,614765.045333207
2016-03-23,23.72145833,-76.17729444,2854855,"medium","brown","n/a","n/a","n/a",1,496976.025561336
2016-05-13,25.74404761,-80.21020683,3167929,"small","blue","n/a","n/a","n/a",1,93468.9679945202
2016-04-23,24.55451,-81.748505,3188149,"medium","brown","small","brown","slender",1,111895.29971498
2016-07-09,25.75350333,-80.14645283,3647968,"medium","brown","small","brown","slender",1,98628.4944737786
2014-12-31,24.57634805,-81.65701554,4203527,"large","brown","n/a","n/a","n/a",1,102934.729542861
2016-12-28,24.68146126,-81.22951984,4913756,"large","n/a","medium","blue","round",1,63192.147357432
2017-01-12,24.693475,-81.33503,4935302,"small","brown","n/a","n/a","n/a",1,69492.0150670841
2016-01-04,25.1421336,-80.39982039,4950308,"large","n/a","small","blue","round",1,43779.5488224878
2017-01-21,24.75738,-80.960945,4985678,"medium","blue","n/a","n/a","n/a",1,42480.5536960086
2017-01-03,24.72075478,-81.06369495,5228701,"small","blue","n/a","n/a","n/a",1,50256.7145438646
2017-01-01,20.411256,-87.304794,5690041,"large","brown","small","brown","round",1,845968.065660006
2016-12-15,24.73055848,-81.04961336,5823054,"large","n/a","n/a","n/a","n/a",1,48637.3618654766
2017-04-22,25.74355833,-80.21216667,5909865,"medium","blue","n/a","n/a","n/a",6,5229.91852301198
2017-03-22,24.7631948,-80.9528483,5955739,"large","brown","small","brown","round",2,16585.9004974092
2017-05-08,25.07870977,-80.41498158,6220312,"medium","blue","medium","blue","slender",8,14531.5889717819
2017-05-16,25.015513,-80.514318,6241332,"medium","blue","small","white","round",8,25345.3528880453
2017-05-12,25.08660846,-80.45291598,6495051,"medium","white","large","blue","slender",8,15330.5249752594
2017-05-14,20.503755,-87.218705,6514863,"large","n/a","large","blue","slender",2,783305.117756033
2017-07-06,24.69204167,-81.09525283,6945997,"small","n/a","medium","blue","slender",2,2397.44616695937
2016-12-12,26.71603158,-82.26367575,7014670,"medium","brown","n/a","n/a","n/a",3,39785.0571729275
2014-07-22,24.628477,-82.8731874,7223250,"large","brown","medium","blue","slender",9,203123.457397796
2017-07-27,21.92770333,-80.30798333,7259555,"medium","white","n/a","n/a","n/a",2,320404.600214752
2017-04-01,24.68083305,-81.23018346,7316715,"large","brown","large","brown","slender",2,12952.0175893497
2017-04-01,24.68085255,-81.23014054,7316726,"large","brown","large","blue","round",2,12947.2614619105
2017-04-01,24.68089154,-81.23026929,7316738,"large","brown","small","blue","round",2,12958.7132056585
2017-04-01,24.68075506,-81.23018346,7316760,"medium","n/a","large","blue","slender",2,12954.2750814472
2017-04-01,24.68106475,-81.23009567,7316791,"medium","brown","large","blue","slender",2,12936.763369707
