id,observed_on,url,captive_cultivated,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
35487,2011-10-10,http://www.inaturalist.org/observations/35487,false,24.7433195,-81.2518833,,,,,,,,false,,,Moon Jellies,Aurelia,Moon Jellies,Animalia,48329
95373,2012-06-23,http://www.inaturalist.org/observations/95373,false,24.8240255,-80.8136783,933,,,,933,,,false,,,Upsidedown Jelly,Cassiopea andromeda,Mangrove Upsidedown Jelly,Animalia,326834
95545,2010-11-11,http://www.inaturalist.org/observations/95545,false,29.2049184639,-80.9802246094,,,,,,,,false,,,Atlantic Sea Nettle,Chrysaora quinquecirrha,Atlantic Sea Nettle,Animalia,48478
222983,2013-02-14,http://www.inaturalist.org/observations/222983,false,24.6715318,-81.4984176,4590,,,,4590,,,false,,,Cassiopea,Cassiopea,Upsidedown Jellies,Animalia,128144
317431,2013-06-29,http://www.inaturalist.org/observations/317431,false,24.824026,-80.813678,933,,,,933,,,false,,,Upsidedown Jelly,Cassiopea andromeda,Mangrove Upsidedown Jelly,Animalia,326834
317437,2013-06-29,http://www.inaturalist.org/observations/317437,false,24.824026,-80.813678,933,,,,933,,,false,,,Cassiopea,Cassiopea,Upsidedown Jellies,Animalia,128144
325583,2013-06-01,http://www.inaturalist.org/observations/325583,false,16.829887,-88.103142,711,,,,711,,,false,,,Cassiopea andromeda,Cassiopea andromeda,Mangrove Upsidedown Jelly,Animalia,326834
327284,2011-06-07,http://www.inaturalist.org/observations/327284,false,16.830257,-88.103657,508,,,,508,,,false,,,Cassiopea frondosa,Cassiopea frondosa,Caribbean Upsidedown Jelly,Animalia,128142
350171,2004-10-06,http://www.inaturalist.org/observations/350171,false,25.742847,-79.250753,8314,,,,8314,,,false,,,Moon Jellies,Aurelia,Moon Jellies,Animalia,48329
352857,2013-07-12,http://www.inaturalist.org/observations/352857,false,27.51486,-80.353053,10342,,,,10342,,,false,,,Moon Jellies,Aurelia,Moon Jellies,Animalia,48329
